[2026-07-06 20:53:57] Memory extraction started: total_records=30 output_root=/home/bowenzheng/projects/DimMemTest-test/DimMem/results/memories/run_baseline
[2026-07-06 20:53:57] [record 1/30] question_id=knowledge-update/031748ae_abs | start | done=0 failed=0 skipped=0
[2026-07-06 21:01:54] [record 1/30] question_id=knowledge-update/031748ae_abs | window 15/22 (window_index=14) | start
[2026-07-06 21:01:54] [record 1/30] question_id=knowledge-update/031748ae_abs | window 15/22 | attempt 1/5
[2026-07-06 21:02:30] [record 1/30] question_id=knowledge-update/031748ae_abs | window 15/22 | done ok=True memories=3 elapsed=35.82s
[2026-07-06 21:02:30] [record 1/30] question_id=knowledge-update/031748ae_abs | window 16/22 (window_index=15) | start
[2026-07-06 21:02:30] [record 1/30] question_id=knowledge-update/031748ae_abs | window 16/22 | attempt 1/5
[2026-07-06 21:03:09] [record 1/30] question_id=knowledge-update/031748ae_abs | window 16/22 | done ok=True memories=15 elapsed=38.68s
[2026-07-06 21:03:09] [record 1/30] question_id=knowledge-update/031748ae_abs | window 17/22 (window_index=16) | start
[2026-07-06 21:03:09] [record 1/30] question_id=knowledge-update/031748ae_abs | window 17/22 | attempt 1/5
[2026-07-06 21:03:24] [record 1/30] question_id=knowledge-update/031748ae_abs | window 17/22 | done ok=True memories=3 elapsed=15.15s
[2026-07-06 21:03:24] [record 1/30] question_id=knowledge-update/031748ae_abs | window 18/22 (window_index=17) | start
[2026-07-06 21:03:24] [record 1/30] question_id=knowledge-update/031748ae_abs | window 18/22 | attempt 1/5
[2026-07-06 21:04:01] [record 1/30] question_id=knowledge-update/031748ae_abs | window 18/22 | done ok=True memories=8 elapsed=36.66s
[2026-07-06 21:04:01] [record 1/30] question_id=knowledge-update/031748ae_abs | window 19/22 (window_index=18) | start
[2026-07-06 21:04:01] [record 1/30] question_id=knowledge-update/031748ae_abs | window 19/22 | attempt 1/5
[2026-07-06 21:05:10] [record 1/30] question_id=knowledge-update/031748ae_abs | window 19/22 | done ok=True memories=11 elapsed=69.08s
[2026-07-06 21:05:10] [record 1/30] question_id=knowledge-update/031748ae_abs | window 20/22 (window_index=19) | start
[2026-07-06 21:05:10] [record 1/30] question_id=knowledge-update/031748ae_abs | window 20/22 | attempt 1/5
[2026-07-06 21:05:48] [record 1/30] question_id=knowledge-update/031748ae_abs | window 20/22 | done ok=True memories=7 elapsed=38.30s
[2026-07-06 21:05:48] [record 1/30] question_id=knowledge-update/031748ae_abs | window 21/22 (window_index=20) | start
[2026-07-06 21:05:48] [record 1/30] question_id=knowledge-update/031748ae_abs | window 21/22 | attempt 1/5
[2026-07-06 21:06:18] [record 1/30] question_id=knowledge-update/031748ae_abs | window 21/22 | done ok=True memories=3 elapsed=30.26s
[2026-07-06 21:06:18] [record 1/30] question_id=knowledge-update/031748ae_abs | window 22/22 (window_index=21) | start
[2026-07-06 21:06:18] [record 1/30] question_id=knowledge-update/031748ae_abs | window 22/22 | attempt 1/5
[2026-07-06 21:06:36] [record 1/30] question_id=knowledge-update/031748ae_abs | window 22/22 | done ok=True memories=2 elapsed=17.34s
[2026-07-06 21:06:36] [record 1/30] question_id=knowledge-update/031748ae_abs | finished | ok_windows=22/22 | total_memories=166
[2026-07-06 21:06:36] [record 1/30] question_id=knowledge-update/031748ae_abs | record done | done=1/30 failed=0 skipped=0
[2026-07-06 21:06:36] [record 2/30] question_id=knowledge-update/852ce960 | start | done=1 failed=0 skipped=0
[2026-07-06 21:06:36] [record 2/30] question_id=knowledge-update/852ce960 | windows=17 | start extraction
[2026-07-06 21:06:36] [record 2/30] question_id=knowledge-update/852ce960 | window 1/17 (window_index=0) | start
[2026-07-06 21:06:36] [record 2/30] question_id=knowledge-update/852ce960 | window 1/17 | attempt 1/5
[2026-07-06 21:07:09] [record 2/30] question_id=knowledge-update/852ce960 | window 1/17 | done ok=True memories=10 elapsed=33.17s
[2026-07-06 21:07:09] [record 2/30] question_id=knowledge-update/852ce960 | window 2/17 (window_index=1) | start
[2026-07-06 21:07:09] [record 2/30] question_id=knowledge-update/852ce960 | window 2/17 | attempt 1/5
[2026-07-06 21:07:33] [record 2/30] question_id=knowledge-update/852ce960 | window 2/17 | done ok=True memories=9 elapsed=23.99s
[2026-07-06 21:07:33] [record 2/30] question_id=knowledge-update/852ce960 | window 3/17 (window_index=2) | start
[2026-07-06 21:07:33] [record 2/30] question_id=knowledge-update/852ce960 | window 3/17 | attempt 1/5
[2026-07-06 21:08:02] [record 2/30] question_id=knowledge-update/852ce960 | window 3/17 | done ok=True memories=5 elapsed=29.67s
[2026-07-06 21:08:02] [record 2/30] question_id=knowledge-update/852ce960 | window 4/17 (window_index=3) | start
[2026-07-06 21:08:02] [record 2/30] question_id=knowledge-update/852ce960 | window 4/17 | attempt 1/5
[2026-07-06 21:08:24] [record 2/30] question_id=knowledge-update/852ce960 | window 4/17 | done ok=True memories=4 elapsed=21.32s
[2026-07-06 21:08:24] [record 2/30] question_id=knowledge-update/852ce960 | window 5/17 (window_index=4) | start
[2026-07-06 21:08:24] [record 2/30] question_id=knowledge-update/852ce960 | window 5/17 | attempt 1/5
[2026-07-06 21:08:48] [record 2/30] question_id=knowledge-update/852ce960 | window 5/17 | done ok=True memories=6 elapsed=23.92s
[2026-07-06 21:08:48] [record 2/30] question_id=knowledge-update/852ce960 | window 6/17 (window_index=5) | start
[2026-07-06 21:08:48] [record 2/30] question_id=knowledge-update/852ce960 | window 6/17 | attempt 1/5
[2026-07-06 21:09:18] [record 2/30] question_id=knowledge-update/852ce960 | window 6/17 | done ok=True memories=7 elapsed=30.60s
[2026-07-06 21:09:18] [record 2/30] question_id=knowledge-update/852ce960 | window 7/17 (window_index=6) | start
[2026-07-06 21:09:18] [record 2/30] question_id=knowledge-update/852ce960 | window 7/17 | attempt 1/5
[2026-07-06 21:09:32] [record 2/30] question_id=knowledge-update/852ce960 | window 7/17 | done ok=True memories=1 elapsed=14.13s
[2026-07-06 21:09:32] [record 2/30] question_id=knowledge-update/852ce960 | window 8/17 (window_index=7) | start
[2026-07-06 21:09:32] [record 2/30] question_id=knowledge-update/852ce960 | window 8/17 | attempt 1/5
[2026-07-06 21:10:04] [record 2/30] question_id=knowledge-update/852ce960 | window 8/17 | done ok=True memories=10 elapsed=31.32s
[2026-07-06 21:10:04] [record 2/30] question_id=knowledge-update/852ce960 | window 9/17 (window_index=8) | start
[2026-07-06 21:10:04] [record 2/30] question_id=knowledge-update/852ce960 | window 9/17 | attempt 1/5
[2026-07-06 21:10:38] [record 2/30] question_id=knowledge-update/852ce960 | window 9/17 | done ok=True memories=8 elapsed=34.19s
[2026-07-06 21:10:38] [record 2/30] question_id=knowledge-update/852ce960 | window 10/17 (window_index=9) | start
[2026-07-06 21:10:38] [record 2/30] question_id=knowledge-update/852ce960 | window 10/17 | attempt 1/5
[2026-07-06 21:11:07] [record 2/30] question_id=knowledge-update/852ce960 | window 10/17 | done ok=True memories=11 elapsed=28.77s
[2026-07-06 21:11:07] [record 2/30] question_id=knowledge-update/852ce960 | window 11/17 (window_index=10) | start
[2026-07-06 21:11:07] [record 2/30] question_id=knowledge-update/852ce960 | window 11/17 | attempt 1/5
[2026-07-06 21:11:27] [record 2/30] question_id=knowledge-update/852ce960 | window 11/17 | done ok=True memories=3 elapsed=19.83s
[2026-07-06 21:11:27] [record 2/30] question_id=knowledge-update/852ce960 | window 12/17 (window_index=11) | start
[2026-07-06 21:11:27] [record 2/30] question_id=knowledge-update/852ce960 | window 12/17 | attempt 1/5
[2026-07-06 21:12:07] [record 2/30] question_id=knowledge-update/852ce960 | window 12/17 | done ok=True memories=14 elapsed=40.04s
[2026-07-06 21:12:07] [record 2/30] question_id=knowledge-update/852ce960 | window 13/17 (window_index=12) | start
[2026-07-06 21:12:07] [record 2/30] question_id=knowledge-update/852ce960 | window 13/17 | attempt 1/5
[2026-07-06 21:12:49] [record 2/30] question_id=knowledge-update/852ce960 | window 13/17 | done ok=True memories=14 elapsed=42.16s
[2026-07-06 21:12:49] [record 2/30] question_id=knowledge-update/852ce960 | window 14/17 (window_index=13) | start
[2026-07-06 21:12:49] [record 2/30] question_id=knowledge-update/852ce960 | window 14/17 | attempt 1/5
[2026-07-06 21:13:11] [record 2/30] question_id=knowledge-update/852ce960 | window 14/17 | done ok=True memories=5 elapsed=21.75s
[2026-07-06 21:13:11] [record 2/30] question_id=knowledge-update/852ce960 | window 15/17 (window_index=14) | start
[2026-07-06 21:13:11] [record 2/30] question_id=knowledge-update/852ce960 | window 15/17 | attempt 1/5
[2026-07-06 21:13:35] [record 2/30] question_id=knowledge-update/852ce960 | window 15/17 | done ok=True memories=14 elapsed=24.10s
[2026-07-06 21:13:35] [record 2/30] question_id=knowledge-update/852ce960 | window 16/17 (window_index=15) | start
[2026-07-06 21:13:35] [record 2/30] question_id=knowledge-update/852ce960 | window 16/17 | attempt 1/5
[2026-07-06 21:14:00] [record 2/30] question_id=knowledge-update/852ce960 | window 16/17 | done ok=True memories=5 elapsed=25.07s
[2026-07-06 21:14:00] [record 2/30] question_id=knowledge-update/852ce960 | window 17/17 (window_index=16) | start
[2026-07-06 21:14:00] [record 2/30] question_id=knowledge-update/852ce960 | window 17/17 | attempt 1/5
[2026-07-06 21:14:03] [record 2/30] question_id=knowledge-update/852ce960 | window 17/17 | done ok=True memories=0 elapsed=3.07s
[2026-07-06 21:14:03] [record 2/30] question_id=knowledge-update/852ce960 | finished | ok_windows=17/17 | total_memories=126
[2026-07-06 21:14:03] [record 2/30] question_id=knowledge-update/852ce960 | record done | done=2/30 failed=0 skipped=0
[2026-07-06 21:14:03] [record 3/30] question_id=knowledge-update/07741c45 | start | done=2 failed=0 skipped=0
[2026-07-06 21:14:03] [record 3/30] question_id=knowledge-update/07741c45 | windows=22 | start extraction
[2026-07-06 21:14:03] [record 3/30] question_id=knowledge-update/07741c45 | window 1/22 (window_index=0) | start
[2026-07-06 21:14:03] [record 3/30] question_id=knowledge-update/07741c45 | window 1/22 | attempt 1/5
[2026-07-06 21:14:25] [record 3/30] question_id=knowledge-update/07741c45 | window 1/22 | done ok=True memories=5 elapsed=22.53s
[2026-07-06 21:14:25] [record 3/30] question_id=knowledge-update/07741c45 | window 2/22 (window_index=1) | start
[2026-07-06 21:14:25] [record 3/30] question_id=knowledge-update/07741c45 | window 2/22 | attempt 1/5
[2026-07-06 21:14:45] [record 3/30] question_id=knowledge-update/07741c45 | window 2/22 | done ok=True memories=6 elapsed=19.85s
[2026-07-06 21:14:45] [record 3/30] question_id=knowledge-update/07741c45 | window 3/22 (window_index=2) | start
[2026-07-06 21:14:45] [record 3/30] question_id=knowledge-update/07741c45 | window 3/22 | attempt 1/5
[2026-07-06 21:15:10] [record 3/30] question_id=knowledge-update/07741c45 | window 3/22 | done ok=True memories=7 elapsed=25.15s
[2026-07-06 21:15:10] [record 3/30] question_id=knowledge-update/07741c45 | window 4/22 (window_index=3) | start
[2026-07-06 21:15:10] [record 3/30] question_id=knowledge-update/07741c45 | window 4/22 | attempt 1/5
[2026-07-06 21:15:39] [record 3/30] question_id=knowledge-update/07741c45 | window 4/22 | done ok=True memories=8 elapsed=28.36s
[2026-07-06 21:15:39] [record 3/30] question_id=knowledge-update/07741c45 | window 5/22 (window_index=4) | start
[2026-07-06 21:15:39] [record 3/30] question_id=knowledge-update/07741c45 | window 5/22 | attempt 1/5
[2026-07-06 21:15:55] [record 3/30] question_id=knowledge-update/07741c45 | window 5/22 | done ok=True memories=3 elapsed=16.00s
[2026-07-06 21:15:55] [record 3/30] question_id=knowledge-update/07741c45 | window 6/22 (window_index=5) | start
[2026-07-06 21:15:55] [record 3/30] question_id=knowledge-update/07741c45 | window 6/22 | attempt 1/5
[2026-07-06 21:16:26] [record 3/30] question_id=knowledge-update/07741c45 | window 6/22 | done ok=True memories=11 elapsed=31.47s
[2026-07-06 21:16:26] [record 3/30] question_id=knowledge-update/07741c45 | window 7/22 (window_index=6) | start
[2026-07-06 21:16:26] [record 3/30] question_id=knowledge-update/07741c45 | window 7/22 | attempt 1/5
[2026-07-06 21:16:54] [record 3/30] question_id=knowledge-update/07741c45 | window 7/22 | done ok=True memories=11 elapsed=27.41s
[2026-07-06 21:16:54] [record 3/30] question_id=knowledge-update/07741c45 | window 8/22 (window_index=7) | start
[2026-07-06 21:16:54] [record 3/30] question_id=knowledge-update/07741c45 | window 8/22 | attempt 1/5
[2026-07-06 21:17:29] [record 3/30] question_id=knowledge-update/07741c45 | window 8/22 | done ok=True memories=4 elapsed=35.31s
[2026-07-06 21:17:29] [record 3/30] question_id=knowledge-update/07741c45 | window 9/22 (window_index=8) | start
[2026-07-06 21:17:29] [record 3/30] question_id=knowledge-update/07741c45 | window 9/22 | attempt 1/5
[2026-07-06 21:17:48] [record 3/30] question_id=knowledge-update/07741c45 | window 9/22 | done ok=True memories=4 elapsed=18.95s
[2026-07-06 21:17:48] [record 3/30] question_id=knowledge-update/07741c45 | window 10/22 (window_index=9) | start
[2026-07-06 21:17:48] [record 3/30] question_id=knowledge-update/07741c45 | window 10/22 | attempt 1/5
[2026-07-06 21:18:19] [record 3/30] question_id=knowledge-update/07741c45 | window 10/22 | done ok=True memories=5 elapsed=31.39s
[2026-07-06 21:18:19] [record 3/30] question_id=knowledge-update/07741c45 | window 11/22 (window_index=10) | start
[2026-07-06 21:18:19] [record 3/30] question_id=knowledge-update/07741c45 | window 11/22 | attempt 1/5
[2026-07-06 21:18:42] [record 3/30] question_id=knowledge-update/07741c45 | window 11/22 | done ok=True memories=6 elapsed=22.96s
[2026-07-06 21:18:42] [record 3/30] question_id=knowledge-update/07741c45 | window 12/22 (window_index=11) | start
[2026-07-06 21:18:42] [record 3/30] question_id=knowledge-update/07741c45 | window 12/22 | attempt 1/5
[2026-07-06 21:19:24] [record 3/30] question_id=knowledge-update/07741c45 | window 12/22 | done ok=True memories=15 elapsed=41.74s
[2026-07-06 21:19:24] [record 3/30] question_id=knowledge-update/07741c45 | window 13/22 (window_index=12) | start
[2026-07-06 21:19:24] [record 3/30] question_id=knowledge-update/07741c45 | window 13/22 | attempt 1/5
[2026-07-06 21:19:49] [record 3/30] question_id=knowledge-update/07741c45 | window 13/22 | done ok=True memories=5 elapsed=24.75s
[2026-07-06 21:19:49] [record 3/30] question_id=knowledge-update/07741c45 | window 14/22 (window_index=13) | start
[2026-07-06 21:19:49] [record 3/30] question_id=knowledge-update/07741c45 | window 14/22 | attempt 1/5
[2026-07-06 21:20:19] [record 3/30] question_id=knowledge-update/07741c45 | window 14/22 | done ok=True memories=9 elapsed=30.77s
[2026-07-06 21:20:19] [record 3/30] question_id=knowledge-update/07741c45 | window 15/22 (window_index=14) | start
[2026-07-06 21:20:19] [record 3/30] question_id=knowledge-update/07741c45 | window 15/22 | attempt 1/5
[2026-07-06 21:21:21] [record 3/30] question_id=knowledge-update/07741c45 | window 15/22 | done ok=True memories=7 elapsed=61.38s
[2026-07-06 21:21:21] [record 3/30] question_id=knowledge-update/07741c45 | window 16/22 (window_index=15) | start
[2026-07-06 21:21:21] [record 3/30] question_id=knowledge-update/07741c45 | window 16/22 | attempt 1/5
[2026-07-06 21:21:50] [record 3/30] question_id=knowledge-update/07741c45 | window 16/22 | done ok=True memories=14 elapsed=28.82s
[2026-07-06 21:21:50] [record 3/30] question_id=knowledge-update/07741c45 | window 17/22 (window_index=16) | start
[2026-07-06 21:21:50] [record 3/30] question_id=knowledge-update/07741c45 | window 17/22 | attempt 1/5
[2026-07-06 21:22:32] [record 3/30] question_id=knowledge-update/07741c45 | window 17/22 | done ok=True memories=9 elapsed=42.49s
[2026-07-06 21:22:32] [record 3/30] question_id=knowledge-update/07741c45 | window 18/22 (window_index=17) | start
[2026-07-06 21:22:32] [record 3/30] question_id=knowledge-update/07741c45 | window 18/22 | attempt 1/5
[2026-07-06 21:23:05] [record 3/30] question_id=knowledge-update/07741c45 | window 18/22 | done ok=True memories=6 elapsed=32.58s
[2026-07-06 21:23:05] [record 3/30] question_id=knowledge-update/07741c45 | window 19/22 (window_index=18) | start
[2026-07-06 21:23:05] [record 3/30] question_id=knowledge-update/07741c45 | window 19/22 | attempt 1/5
[2026-07-06 21:23:19] [record 3/30] question_id=knowledge-update/07741c45 | window 19/22 | done ok=True memories=1 elapsed=14.74s
[2026-07-06 21:23:19] [record 3/30] question_id=knowledge-update/07741c45 | window 20/22 (window_index=19) | start
[2026-07-06 21:23:19] [record 3/30] question_id=knowledge-update/07741c45 | window 20/22 | attempt 1/5
[2026-07-06 21:23:41] [record 3/30] question_id=knowledge-update/07741c45 | window 20/22 | done ok=True memories=3 elapsed=21.70s
[2026-07-06 21:23:41] [record 3/30] question_id=knowledge-update/07741c45 | window 21/22 (window_index=20) | start
[2026-07-06 21:23:41] [record 3/30] question_id=knowledge-update/07741c45 | window 21/22 | attempt 1/5
[2026-07-06 21:24:21] [record 3/30] question_id=knowledge-update/07741c45 | window 21/22 | done ok=True memories=11 elapsed=40.10s
[2026-07-06 21:24:21] [record 3/30] question_id=knowledge-update/07741c45 | window 22/22 (window_index=21) | start
[2026-07-06 21:24:21] [record 3/30] question_id=knowledge-update/07741c45 | window 22/22 | attempt 1/5
[2026-07-06 21:24:41] [record 3/30] question_id=knowledge-update/07741c45 | window 22/22 | done ok=True memories=6 elapsed=19.40s
[2026-07-06 21:24:41] [record 3/30] question_id=knowledge-update/07741c45 | finished | ok_windows=22/22 | total_memories=156
[2026-07-06 21:24:41] [record 3/30] question_id=knowledge-update/07741c45 | record done | done=3/30 failed=0 skipped=0
[2026-07-06 21:24:41] [record 4/30] question_id=knowledge-update/0977f2af | start | done=3 failed=0 skipped=0
[2026-07-06 21:24:41] [record 4/30] question_id=knowledge-update/0977f2af | windows=20 | start extraction
[2026-07-06 21:24:41] [record 4/30] question_id=knowledge-update/0977f2af | window 1/20 (window_index=0) | start
[2026-07-06 21:24:41] [record 4/30] question_id=knowledge-update/0977f2af | window 1/20 | attempt 1/5
[2026-07-06 21:25:07] [record 4/30] question_id=knowledge-update/0977f2af | window 1/20 | done ok=True memories=10 elapsed=26.28s
[2026-07-06 21:25:07] [record 4/30] question_id=knowledge-update/0977f2af | window 2/20 (window_index=1) | start
[2026-07-06 21:25:07] [record 4/30] question_id=knowledge-update/0977f2af | window 2/20 | attempt 1/5
[2026-07-06 21:25:33] [record 4/30] question_id=knowledge-update/0977f2af | window 2/20 | done ok=True memories=5 elapsed=26.35s
[2026-07-06 21:25:33] [record 4/30] question_id=knowledge-update/0977f2af | window 3/20 (window_index=2) | start
[2026-07-06 21:25:33] [record 4/30] question_id=knowledge-update/0977f2af | window 3/20 | attempt 1/5
[2026-07-06 21:26:18] [record 4/30] question_id=knowledge-update/0977f2af | window 3/20 | done ok=True memories=3 elapsed=44.38s
[2026-07-06 21:26:18] [record 4/30] question_id=knowledge-update/0977f2af | window 4/20 (window_index=3) | start
[2026-07-06 21:26:18] [record 4/30] question_id=knowledge-update/0977f2af | window 4/20 | attempt 1/5
[2026-07-06 21:26:53] [record 4/30] question_id=knowledge-update/0977f2af | window 4/20 | done ok=True memories=13 elapsed=35.22s
[2026-07-06 21:26:53] [record 4/30] question_id=knowledge-update/0977f2af | window 5/20 (window_index=4) | start
[2026-07-06 21:26:53] [record 4/30] question_id=knowledge-update/0977f2af | window 5/20 | attempt 1/5
[2026-07-06 21:27:08] [record 4/30] question_id=knowledge-update/0977f2af | window 5/20 | done ok=True memories=2 elapsed=15.07s
[2026-07-06 21:27:08] [record 4/30] question_id=knowledge-update/0977f2af | window 6/20 (window_index=5) | start
[2026-07-06 21:27:08] [record 4/30] question_id=knowledge-update/0977f2af | window 6/20 | attempt 1/5
[2026-07-06 21:27:41] [record 4/30] question_id=knowledge-update/0977f2af | window 6/20 | done ok=True memories=11 elapsed=33.10s
[2026-07-06 21:27:41] [record 4/30] question_id=knowledge-update/0977f2af | window 7/20 (window_index=6) | start
[2026-07-06 21:27:41] [record 4/30] question_id=knowledge-update/0977f2af | window 7/20 | attempt 1/5
[2026-07-06 21:28:05] [record 4/30] question_id=knowledge-update/0977f2af | window 7/20 | done ok=True memories=3 elapsed=23.90s
[2026-07-06 21:28:05] [record 4/30] question_id=knowledge-update/0977f2af | window 8/20 (window_index=7) | start
[2026-07-06 21:28:05] [record 4/30] question_id=knowledge-update/0977f2af | window 8/20 | attempt 1/5
[2026-07-06 21:28:48] [record 4/30] question_id=knowledge-update/0977f2af | window 8/20 | done ok=True memories=6 elapsed=42.72s
[2026-07-06 21:28:48] [record 4/30] question_id=knowledge-update/0977f2af | window 9/20 (window_index=8) | start
[2026-07-06 21:28:48] [record 4/30] question_id=knowledge-update/0977f2af | window 9/20 | attempt 1/5
[2026-07-06 21:29:12] [record 4/30] question_id=knowledge-update/0977f2af | window 9/20 | done ok=True memories=11 elapsed=24.81s
[2026-07-06 21:29:12] [record 4/30] question_id=knowledge-update/0977f2af | window 10/20 (window_index=9) | start
[2026-07-06 21:29:13] [record 4/30] question_id=knowledge-update/0977f2af | window 10/20 | attempt 1/5
[2026-07-06 21:29:35] [record 4/30] question_id=knowledge-update/0977f2af | window 10/20 | done ok=True memories=11 elapsed=22.17s
[2026-07-06 21:29:35] [record 4/30] question_id=knowledge-update/0977f2af | window 11/20 (window_index=10) | start
[2026-07-06 21:29:35] [record 4/30] question_id=knowledge-update/0977f2af | window 11/20 | attempt 1/5
[2026-07-06 21:30:02] [record 4/30] question_id=knowledge-update/0977f2af | window 11/20 | done ok=True memories=7 elapsed=27.20s
[2026-07-06 21:30:02] [record 4/30] question_id=knowledge-update/0977f2af | window 12/20 (window_index=11) | start
[2026-07-06 21:30:02] [record 4/30] question_id=knowledge-update/0977f2af | window 12/20 | attempt 1/5
[2026-07-06 21:30:49] [record 4/30] question_id=knowledge-update/0977f2af | window 12/20 | done ok=True memories=11 elapsed=47.29s
[2026-07-06 21:30:49] [record 4/30] question_id=knowledge-update/0977f2af | window 13/20 (window_index=12) | start
[2026-07-06 21:30:49] [record 4/30] question_id=knowledge-update/0977f2af | window 13/20 | attempt 1/5
[2026-07-06 21:31:21] [record 4/30] question_id=knowledge-update/0977f2af | window 13/20 | done ok=True memories=7 elapsed=31.79s
[2026-07-06 21:31:21] [record 4/30] question_id=knowledge-update/0977f2af | window 14/20 (window_index=13) | start
[2026-07-06 21:31:21] [record 4/30] question_id=knowledge-update/0977f2af | window 14/20 | attempt 1/5
